code_muni,nome_adapta,ano_adapta,valor_txt,susceptibilidade,classe_original,tipo_risco,categoria
1302504,Manacapuru/AM,2015,0.92,0.92,Muito alto,Deslizamento de terra,Muito alto
2613701,SÃ£o LourenÃ§o da Mata/PE,2015,0.92,0.92,Muito alto,Deslizamento de terra,Muito alto
2708501,SÃ£o LuÃ­s do Quitunde/AL,2015,0.92,0.92,Muito alto,Deslizamento de terra,Muito alto
1304104,TapauÃ¡/AM,2015,0.92,0.92,Muito alto,Deslizamento de terra,Muito alto
2112233,Trizidela do Vale/MA,2015,0.92,0.92,Muito alto,Deslizamento de terra,Muito alto
2401107,Areia Branca/RN,2015,0.91,0.91,Muito alto,Deslizamento de terra,Muito alto
2911204,Gandu/BA,2015,0.91,0.91,Muito alto,Deslizamento de terra,Muito alto
3522505,Itapevi/SP,2015,0.91,0.91,Muito alto,Deslizamento de terra,Muito alto
3302858,Mesquita/RJ,2015,0.91,0.91,Muito alto,Deslizamento de terra,Muito alto
2311306,QuixadÃ¡/CE,2015,0.91,0.91,Muito alto,Deslizamento de terra,Muito alto
2513703,Santa Rita/PB,2015,0.91,0.91,Muito alto,Deslizamento de terra,Muito alto
2929503,SÃ£o SebastiÃ£o do PassÃ©/BA,2015,0.91,0.91,Muito alto,Deslizamento de terra,Muito alto
2615508,TracunhaÃ©m/PE,2015,0.91,0.91,Muito alto,Deslizamento de terra,Muito alto
2601201,Arcoverde/PE,2015,0.9,0.9,Muito alto,Deslizamento de terra,Muito alto
3106002,Bela Vista de Minas/MG,2015,0.9,0.9,Muito alto,Deslizamento de terra,Muito alto
3202454,Ibatiba/ES,2015,0.9,0.9,Muito alto,Deslizamento de terra,Muito alto
2607802,Itaquitinga/PE,2015,0.9,0.9,Muito alto,Deslizamento de terra,Muito alto
1302405,LÃ¡brea/AM,2015,0.9,0.9,Muito alto,Deslizamento de terra,Muito alto
3137700,Lajinha/MG,2015,0.9,0.9,Muito alto,Deslizamento de terra,Muito alto
1600279,Laranjal do Jari/AP,2015,0.9,0.9,Muito alto,Deslizamento de terra,Muito alto
3203700,Muniz Freire/ES,2015,0.9,0.9,Muito alto,Deslizamento de terra,Muito alto
2108207,Pedreiras/MA,2015,0.9,0.9,Muito alto,Deslizamento de terra,Muito alto
3304805,SÃ£o FidÃ©lis/RJ,2015,0.9,0.9,Muito alto,Deslizamento de terra,Muito alto
3162609,SÃ£o JoÃ£o do Oriente/MG,2015,0.9,0.9,Muito alto,Deslizamento de terra,Muito alto
2600708,AlianÃ§a/PE,2015,0.89,0.89,Muito alto,Deslizamento de terra,Muito alto
2309607,Pacajus/CE,2015,0.89,0.89,Muito alto,Deslizamento de terra,Muito alto
3162104,SÃ£o Gotardo/MG,2015,0.89,0.89,Muito alto,Deslizamento de terra,Muito alto
2614105,SertÃ¢nia/PE,2015,0.89,0.89,Muito alto,Deslizamento de terra,Muito alto
2614204,SirinhaÃ©m/PE,2015,0.89,0.89,Muito alto,Deslizamento de terra,Muito alto
1304401,Urucurituba/AM,2015,0.89,0.89,Muito alto,Deslizamento de terra,Muito alto
2902401,Aurelino Leal/BA,2015,0.88,0.88,Muito alto,Deslizamento de terra,Muito alto
2700508,Barra de Santo AntÃ´nio/AL,2015,0.88,0.88,Muito alto,Deslizamento de terra,Muito alto
3300456,Belford Roxo/RJ,2015,0.88,0.88,Muito alto,Deslizamento de terra,Muito alto
2907509,Catu/BA,2015,0.88,0.88,Muito alto,Deslizamento de terra,Muito alto
2910057,Dias d'Ãvila/BA,2015,0.88,0.88,Muito alto,Deslizamento de terra,Muito alto
3522208,Itapecerica da Serra/SP,2015,0.88,0.88,Muito alto,Deslizamento de terra,Muito alto
2507903,Juripiranga/PB,2015,0.88,0.88,Muito alto,Deslizamento de terra,Muito alto
2919207,Lauro de Freitas/BA,2015,0.88,0.88,Muito alto,Deslizamento de terra,Muito alto
1504505,MelgaÃ§o/PA,2015,0.88,0.88,Muito alto,Deslizamento de terra,Muito alto
1504802,Monte Alegre/PA,2015,0.88,0.88,Muito alto,Deslizamento de terra,Muito alto
3303500,Nova IguaÃ§u/RJ,2015,0.88,0.88,Muito alto,Deslizamento de terra,Muito alto
3303609,Paracambi/RJ,2015,0.88,0.88,Muito alto,Deslizamento de terra,Muito alto
3157807,Santa Luzia/MG,2015,0.88,0.88,Muito alto,Deslizamento de terra,Muito alto
3205010,Sooretama/ES,2015,0.88,0.88,Muito alto,Deslizamento de terra,Muito alto
3113305,Carangola/MG,2015,0.87,0.8700000000000001,Muito alto,Deslizamento de terra,Muito alto
